count,trial,repeat,evict_kb,result,exit_code,min_time,score,seconds,used_samples,ignored_samples
45000,1,50,2048,FAIL,2,112,16463.061,40,44948,52
10000,10,50,2048,FAIL,2,118,17327.787,10,9989,11
400000,9,50,2048,PASS,0,108,16872.181,372,399592,408
40000,9,50,2048,FAIL,2,108,17030.046,37,39951,49
75000,8,50,2048,FAIL,2,110,17016.913,71,74921,79
75000,6,50,2048,FAIL,2,121,17618.217,71,74931,69
300000,8,50,2048,PASS,0,108,17666.105,281,299742,258
20000,8,50,2048,FAIL,2,120,17168.242,19,19991,9
30000,8,50,2048,FAIL,2,124,18087.421,29,29987,13
400000,3,50,2048,PASS,0,113,17073.863,375,399711,289
40000,4,50,2048,FAIL,2,120,17226.382,38,39963,37
35000,2,50,2048,FAIL,2,125,17605.952,33,34988,12
10000,5,50,2048,FAIL,2,127,17690.248,10,9997,3
500000,6,50,2048,PASS,0,113,17080.351,470,499578,422
60000,7,50,2048,FAIL,2,119,17793.209,56,59948,52
40000,5,50,2048,FAIL,2,117,17237.274,38,39978,22
10000,9,50,2048,FAIL,2,125,17723.176,9,9992,8
100000,4,50,2048,PASS,0,114,17625.677,94,99919,81
300000,10,50,2048,PASS,0,119,17692.805,282,299780,220
20000,10,50,2048,FAIL,2,122,17737.853,19,19984,16
150000,6,50,2048,PASS,0,115,17039.118,141,149879,121
250000,3,50,2048,PASS,0,117,17773.186,235,249804,196
60000,2,50,2048,FAIL,2,121,17684.606,57,59950,50
20000,1,50,2048,FAIL,2,121,16995.650,19,19987,13
20000,2,50,2048,FAIL,2,126,17665.084,19,19990,10
300000,4,50,2048,PASS,0,118,17737.014,282,299776,224
25000,1,50,2048,FAIL,2,122,17092.449,23,24983,17
40000,3,50,2048,FAIL,2,122,17594.516,38,39969,31
150000,3,50,2048,PASS,0,116,17992.423,141,149872,128
75000,10,50,2048,FAIL,2,120,17069.919,71,74955,45
20000,5,50,2048,FAIL,2,124,17661.473,19,19986,14
45000,2,50,2048,FAIL,2,119,17060.887,42,44964,36
500000,1,50,2048,PASS,0,116,17795.107,470,499629,371
45000,9,50,2048,FAIL,2,116,18244.340,42,44965,35
75000,1,50,2048,FAIL,2,117,17816.831,71,74892,108
250000,6,50,2048,PASS,0,117,16947.440,235,249814,186
400000,4,50,2048,PASS,0,118,17191.154,376,399668,332
35000,1,50,2048,FAIL,2,116,17263.848,33,34965,35
35000,8,50,2048,FAIL,2,119,17516.829,33,34970,30
35000,5,50,2048,FAIL,2,130,19244.227,33,34983,17
150000,9,50,2048,PASS,0,119,17054.923,142,149892,108
30000,4,50,2048,FAIL,2,120,17685.161,28,29981,19
250000,9,50,2048,PASS,0,119,17940.427,235,249800,200
30000,7,50,2048,FAIL,2,119,17776.395,28,29974,26
300000,7,50,2048,PASS,0,114,17642.891,282,299749,251
500000,8,50,2048,PASS,0,118,17705.241,470,499578,422
150000,1,50,2048,FAIL,2,118,17772.994,141,149883,117
