count,n,passes,success_rate,ci_lo,ci_hi,mean_seconds,median_seconds,mean_min_time,mean_score
500000,10,10,1.0000,0.7225,1.0000,470.6000,470.0000,114.9000,17355.2630
400000,10,9,0.9000,0.5958,0.9821,375.5000,376.0000,114.1000,17541.2031
300000,10,10,1.0000,0.7225,1.0000,281.9000,282.0000,115.2000,17565.7333
250000,10,9,0.9000,0.5958,0.9821,235.0000,235.0000,117.1000,17506.3852
200000,10,10,1.0000,0.7225,1.0000,188.2000,188.0000,115.7000,17455.2423
150000,10,8,0.8000,0.4902,0.9433,141.2000,141.0000,116.4000,17351.3224
100000,10,5,0.5000,0.2366,0.7634,94.0000,94.0000,117.4000,17561.7123
75000,10,1,0.1000,0.0179,0.4042,70.8000,71.0000,117.2000,17331.7712
60000,10,1,0.1000,0.0179,0.4042,57.0000,57.0000,120.6000,17600.2841
50000,10,0,0.0000,0.0000,0.2775,47.1000,47.0000,118.4000,17182.9232
45000,10,1,0.1000,0.0179,0.4042,42.2000,42.0000,118.1000,17501.6068
40000,10,0,0.0000,0.0000,0.2775,37.9000,38.0000,119.6000,17507.2264
35000,10,0,0.0000,0.0000,0.2775,33.0000,33.0000,120.9000,17523.2690
30000,10,0,0.0000,0.0000,0.2775,28.3000,28.0000,119.1000,17378.7299
25000,10,0,0.0000,0.0000,0.2775,23.7000,24.0000,121.4000,17391.8665
20000,10,0,0.0000,0.0000,0.2775,18.9000,19.0000,121.9000,17585.5791
10000,10,0,0.0000,0.0000,0.2775,9.3000,9.0000,121.8000,17440.7241
