count,trial,repeat,evict_kb,result,exit_code,min_time,score,seconds,used_samples,ignored_samples
40000,9,50,2048,FAIL,2,107,17475.772,38,39927,73
50000,7,50,2048,FAIL,2,111,17994.624,47,49749,251
20000,3,50,2048,FAIL,2,114,17085.830,19,19974,26
300000,2,50,2048,PASS,0,115,17869.789,282,299355,645
35000,2,50,2048,FAIL,2,116,17554.547,33,34961,39
150000,4,50,2048,PASS,0,116,17093.802,142,149730,270
400000,9,50,2048,FAIL,2,105,20033.797,2202,387569,12431
500000,5,50,2048,PASS,0,129,21480.689,574,498363,1637
300000,10,50,2048,PASS,0,133,22357.476,3291,297142,2858
30000,4,50,2048,FAIL,2,144,21721.300,34,29819,181
20000,5,50,2048,FAIL,2,128,20855.713,22,19963,37
200000,4,50,2048,FAIL,2,141,21430.289,1152,199522,478
150000,7,50,2048,FAIL,2,140,21484.144,170,149839,161
500000,3,50,2048,FAIL,2,144,22952.175,566,499269,731
250000,1,50,2048,PASS,0,144,21395.477,283,249693,307
75000,5,50,2048,FAIL,2,141,20637.507,85,74940,60
20000,4,50,2048,FAIL,2,141,21380.975,23,19983,17
40000,10,50,2048,FAIL,2,147,21547.947,46,39941,59
35000,5,50,2048,FAIL,2,157,23299.259,40,34894,106
45000,9,50,2048,FAIL,2,143,21334.247,51,44962,38
50000,9,50,2048,FAIL,2,146,21317.180,57,49954,46
75000,10,50,2048,FAIL,2,147,22006.238,86,74887,113
60000,1,50,2048,FAIL,2,138,21430.789,68,59915,85
30000,5,50,2048,FAIL,2,144,20965.960,34,29966,34
150000,8,50,2048,FAIL,2,145,22214.894,170,149837,163
100000,2,50,2048,FAIL,2,137,20572.277,114,99868,132
400000,2,50,2048,PASS,0,136,21239.244,452,399466,534
20000,1,50,2048,FAIL,2,136,20200.305,23,19980,20
25000,1,50,2048,FAIL,2,149,21374.421,28,24987,13
200000,6,50,2048,PASS,0,137,20675.360,227,199757,243
250000,9,50,2048,PASS,0,137,20503.003,284,249575,425
30000,10,50,2048,FAIL,2,142,21479.456,34,29968,32
40000,2,50,2048,FAIL,2,143,21475.818,45,39961,39
250000,4,50,2048,PASS,0,125,20568.523,283,249510,490
45000,7,50,2048,FAIL,2,140,20404.221,51,44963,37
20000,10,50,2048,FAIL,2,135,20295.148,23,19985,15
100000,6,50,2048,FAIL,2,141,21575.129,113,99865,135
50000,10,50,2048,FAIL,2,147,21432.024,57,49958,42
25000,8,50,2048,FAIL,2,141,20685.684,29,24948,52
300000,6,50,2048,PASS,0,134,20813.948,339,299635,365
50000,3,50,2048,FAIL,2,146,21814.400,57,49971,29
45000,5,50,2048,FAIL,2,150,21814.594,52,44945,55
500000,1,50,2048,PASS,0,141,21412.134,566,499469,531
100000,4,50,2048,FAIL,2,140,20963.703,114,99878,122
40000,8,50,2048,FAIL,2,146,21508.449,45,39962,38
10000,1,50,2048,FAIL,2,149,21383.527,12,9995,5
30000,3,50,2048,FAIL,2,140,20399.849,34,29955,45
400000,5,50,2048,PASS,0,127,20457.353,456,398156,1844
35000,3,50,2048,FAIL,2,136,20302.145,40,34963,37
150000,2,50,2048,PASS,0,137,20461.991,170,149858,142
400000,10,50,2048,PASS,0,135,20643.612,455,399037,963
10000,2,50,2048,FAIL,2,143,20265.294,11,9993,7
500000,9,50,2048,PASS,0,143,21451.595,567,499486,514
400000,4,50,2048,PASS,0,138,21393.240,453,399455,545
40000,7,50,2048,FAIL,2,149,21361.807,45,39978,22
500000,10,50,2048,PASS,0,131,20582.795,575,499074,926
200000,10,50,2048,FAIL,2,137,20487.539,227,199771,229
60000,6,50,2048,PASS,0,145,21277.878,68,59951,49
60000,3,50,2048,FAIL,2,140,21283.938,69,59896,104
30000,2,50,2048,FAIL,2,146,21517.458,34,29958,42
10000,7,50,2048,FAIL,2,150,21187.006,11,9994,6
75000,7,50,2048,FAIL,2,144,21350.104,85,74954,46
10000,4,50,2048,FAIL,2,152,21321.321,11,9998,2
400000,3,50,2048,PASS,0,137,21361.089,454,399380,620
20000,2,50,2048,FAIL,2,148,21387.776,23,19988,12
40000,5,50,2048,FAIL,2,141,20489.254,45,39957,43
250000,8,50,2048,PASS,0,141,21679.991,284,249641,359
25000,10,50,2048,FAIL,2,140,20575.319,28,24987,13
100000,1,50,2048,PASS,0,137,20346.893,113,99900,100
200000,9,50,2048,FAIL,2,144,22130.631,227,199582,418
75000,8,50,2048,FAIL,2,140,21098.525,85,74929,71
35000,10,50,2048,FAIL,2,138,21112.563,40,34957,43
30000,7,50,2048,FAIL,2,148,21503.783,34,29985,15
250000,5,50,2048,PASS,0,137,20533.549,283,249705,295
100000,9,50,2048,FAIL,2,146,21593.386,114,99891,109
20000,8,50,2048,FAIL,2,141,20572.309,23,19985,15
100000,3,50,2048,PASS,0,145,21491.043,113,99921,79
200000,5,50,2048,PASS,0,132,20052.302,226,199768,232
50000,1,50,2048,FAIL,2,146,21421.392,57,49975,25
10000,9,50,2048,FAIL,2,149,21769.137,11,9976,24
150000,3,50,2048,PASS,0,133,21481.583,170,149751,249
400000,1,50,2048,PASS,0,139,21608.905,453,399533,467
10000,6,50,2048,FAIL,2,122,17454.000,13,9986,14
60000,4,50,2048,FAIL,2,145,21580.332,68,59918,82
250000,3,50,2048,PASS,0,140,21663.657,284,249687,313
20000,7,50,2048,FAIL,2,144,21371.163,23,19982,18
60000,10,50,2048,FAIL,2,139,20617.822,68,59893,107
45000,6,50,2048,FAIL,2,138,20398.034,51,44944,56
500000,6,50,2048,PASS,0,137,21353.919,571,499345,655
100000,7,50,2048,FAIL,2,135,20647.331,113,99881,119
40000,1,50,2048,FAIL,2,138,21457.951,46,39967,33
35000,8,50,2048,FAIL,2,146,21578.285,40,34940,60
250000,7,50,2048,PASS,0,137,20722.275,286,249569,431
300000,5,50,2048,PASS,0,140,21556.484,340,299639,361
25000,3,50,2048,FAIL,2,146,21215.876,28,24986,14
400000,7,50,2048,PASS,0,142,21418.407,454,399529,471
150000,1,50,2048,PASS,0,144,21435.223,170,149846,154
40000,6,50,2048,FAIL,2,138,20575.573,45,39953,47
200000,8,50,2048,PASS,0,119,21477.412,1017,197574,2426
30000,9,50,2048,FAIL,2,132,20528.686,949,29941,59
50000,5,50,2048,FAIL,2,127,21692.099,58,49511,489
400000,6,50,2048,PASS,0,128,21949.986,3920,397090,2910
75000,1,50,2048,FAIL,2,133,21731.132,1011,74828,172
25000,9,50,2048,FAIL,2,139,21299.780,29,24968,32
100000,10,50,2048,FAIL,2,130,20694.081,1035,99732,268
250000,6,50,2048,PASS,0,122,21411.717,2282,249296,704
45000,10,50,2048,FAIL,2,132,20534.346,967,44932,68
50000,4,50,2048,FAIL,2,130,21469.700,58,49818,182
45000,2,50,2048,FAIL,2,133,20649.430,551,44889,111
35000,7,50,2048,FAIL,2,143,21500.354,39,34947,53
25000,5,50,2048,FAIL,2,127,20013.176,29,24959,41
75000,3,50,2048,FAIL,2,133,21764.347,1042,74575,425
60000,5,50,2048,FAIL,2,138,21571.327,1030,59838,162
35000,9,50,2048,FAIL,2,128,20377.361,40,34945,55
300000,7,50,2048,FAIL,2,106,19846.867,2432,296240,3760
25000,4,50,2048,FAIL,2,108,16910.483,24,24968,32
45000,1,50,2048,FAIL,2,112,16861.307,42,44940,60
30000,8,50,2048,FAIL,2,113,16969.913,28,29960,40
75000,2,50,2048,FAIL,2,113,17715.025,71,74854,146
60000,7,50,2048,FAIL,2,111,17019.920,56,59785,215
25000,2,50,2048,FAIL,2,118,17882.356,24,24932,68
100000,8,50,2048,PASS,0,109,17701.715,94,99843,157
60000,8,50,2048,FAIL,2,110,17774.602,56,59913,87
300000,8,50,2048,PASS,0,103,17917.832,1214,298509,1491
50000,2,50,2048,FAIL,2,122,20523.306,589,48972,1028
50000,6,50,2048,FAIL,2,135,20723.050,1126,49794,206
60000,9,50,2048,FAIL,2,139,21961.623,69,59876,124
250000,2,50,2048,PASS,0,110,17883.021,418,248849,1151
35000,1,50,2048,FAIL,2,113,17050.655,34,34951,49
200000,3,50,2048,PASS,0,113,17452.292,188,199703,297
75000,9,50,2048,PASS,0,115,17976.117,71,74853,147
35000,4,50,2048,FAIL,2,110,17110.450,33,34954,46
100000,5,50,2048,FAIL,2,112,17109.396,95,99815,185
200000,7,50,2048,PASS,0,107,20708.569,2073,197067,2933
300000,3,50,2048,PASS,0,129,21598.048,2880,298759,1241
45000,8,50,2048,FAIL,2,133,20370.686,52,44881,119
150000,6,50,2048,FAIL,2,128,21725.897,1966,149096,904
500000,4,50,2048,PASS,0,104,17822.707,2383,496399,3601
25000,6,50,2048,FAIL,2,115,17891.577,23,24987,13
250000,10,50,2048,PASS,0,113,16936.729,236,249819,181
500000,8,50,2048,PASS,0,102,20514.817,5375,482241,17759
200000,2,50,2048,PASS,0,132,21934.698,1683,197897,2103
150000,10,50,2048,FAIL,2,107,20927.014,1448,145783,4217
40000,3,50,2048,FAIL,2,114,20382.857,1066,38985,1015
75000,4,50,2048,FAIL,2,108,19290.444,1037,73152,1848
300000,9,50,2048,PASS,0,128,21783.558,3261,297591,2409
150000,5,50,2048,FAIL,2,106,20463.385,1099,145936,4064
10000,8,50,2048,FAIL,2,112,17570.227,9,9981,19
45000,4,50,2048,FAIL,2,116,17690.275,42,44918,82
500000,7,50,2048,PASS,0,113,17927.068,471,499211,789
500000,2,50,2048,PASS,0,103,20436.496,3378,487636,12364
400000,8,50,2048,FAIL,2,104,17897.024,1914,396645,3355
10000,3,50,2048,FAIL,2,120,17043.075,9,9991,9
25000,7,50,2048,FAIL,2,115,17272.498,23,24946,54
60000,2,50,2048,FAIL,2,118,17797.554,57,59881,119
75000,6,50,2048,FAIL,2,111,17038.574,71,74860,140
30000,1,50,2048,FAIL,2,117,17025.303,29,29963,37
150000,9,50,2048,PASS,0,117,17790.327,141,149794,206
45000,3,50,2048,FAIL,2,107,17460.607,128,44771,229
20000,9,50,2048,FAIL,2,143,21186.462,23,19903,97
30000,6,50,2048,FAIL,2,148,21919.800,39,29869,131
200000,1,50,2048,FAIL,2,108,18059.149,1291,195965,4035
35000,6,50,2048,FAIL,2,117,17657.803,33,34896,104
40000,4,50,2048,FAIL,2,116,16953.287,38,39940,60
10000,10,50,2048,FAIL,2,120,17151.901,10,9987,13
