count,n,passes,success_rate,ci_lo,ci_hi,mean_seconds,median_seconds,mean_min_time,mean_score
500000,10,10,1.0000,0.7225,1.0000,471.1000,471.0000,112.3000,17325.0392
400000,10,10,1.0000,0.7225,1.0000,377.8000,376.0000,114.9000,17459.9721
300000,10,10,1.0000,0.7225,1.0000,282.1000,282.0000,115.5000,17337.8088
250000,10,10,1.0000,0.7225,1.0000,235.4000,235.0000,115.8000,17373.4088
200000,10,10,1.0000,0.7225,1.0000,188.2000,188.0000,115.0000,17205.5015
150000,10,10,1.0000,0.7225,1.0000,141.0000,141.0000,117.0000,17412.2151
100000,10,10,1.0000,0.7225,1.0000,94.2000,94.0000,116.6000,17452.4873
75000,10,9,0.9000,0.5958,0.9821,70.4000,70.0000,118.5000,17296.2924
60000,10,7,0.7000,0.3968,0.8922,56.5000,56.5000,117.6000,17279.6568
50000,10,5,0.5000,0.2366,0.7634,47.0000,47.0000,119.0000,17461.7257
45000,10,4,0.4000,0.1682,0.6873,42.6000,43.0000,118.7000,17328.4916
40000,10,1,0.1000,0.0179,0.4042,37.9000,38.0000,120.1000,17427.3419
35000,10,0,0.0000,0.0000,0.2775,33.0000,33.0000,118.5000,17202.1753
30000,10,0,0.0000,0.0000,0.2775,28.5000,28.5000,119.8000,17431.6098
25000,10,1,0.1000,0.0179,0.4042,23.5000,23.5000,117.8000,17284.9538
20000,10,0,0.0000,0.0000,0.2775,18.9000,19.0000,120.6000,17367.0836
10000,10,0,0.0000,0.0000,0.2775,9.3000,9.0000,121.3000,17163.0279
