count,n,passes,success_rate,ci_lo,ci_hi,mean_seconds,median_seconds,mean_min_time,mean_score,ci_width_n10,ci_width_n30,ci_width_ratio
500000,30,30,1.0000,0.8865,1.0000,471.1000,471.0000,112.3000,17325.0392,0.2775,0.1135,0.4091
400000,30,30,1.0000,0.8865,1.0000,377.8000,376.0000,114.9000,17459.9721,0.2775,0.1135,0.4091
300000,30,30,1.0000,0.8865,1.0000,282.1000,282.0000,115.5000,17337.8088,0.2775,0.1135,0.4091
250000,30,30,1.0000,0.8865,1.0000,235.4000,235.0000,115.8000,17373.4088,0.2775,0.1135,0.4091
200000,30,30,1.0000,0.8865,1.0000,188.2000,188.0000,115.0000,17205.5015,0.2775,0.1135,0.4091
150000,30,30,1.0000,0.8865,1.0000,141.0000,141.0000,117.0000,17412.2151,0.2775,0.1135,0.4091
100000,30,30,1.0000,0.8865,1.0000,94.2000,94.0000,116.6000,17452.4873,0.2775,0.1135,0.4091
75000,30,27,0.9000,0.7438,0.9654,70.4000,70.0000,118.5000,17296.2924,0.3863,0.2216,0.5737
60000,30,21,0.7000,0.5212,0.8334,56.5000,56.5000,117.6000,17279.6568,0.4954,0.3121,0.6300
50000,30,15,0.5000,0.3315,0.6685,47.0000,47.0000,119.0000,17461.7257,0.5268,0.3369,0.6396
45000,30,12,0.4000,0.2459,0.5768,42.6000,43.0000,118.7000,17328.4916,0.5191,0.3309,0.6374
40000,30,3,0.1000,0.0346,0.2562,37.9000,38.0000,120.1000,17427.3419,0.3863,0.2216,0.5737
35000,30,0,0.0000,0.0000,0.1135,33.0000,33.0000,118.5000,17202.1753,0.2775,0.1135,0.4091
30000,30,0,0.0000,0.0000,0.1135,28.5000,28.5000,119.8000,17431.6098,0.2775,0.1135,0.4091
25000,30,3,0.1000,0.0346,0.2562,23.5000,23.5000,117.8000,17284.9538,0.3863,0.2216,0.5737
20000,30,0,0.0000,0.0000,0.1135,18.9000,19.0000,120.6000,17367.0836,0.2775,0.1135,0.4091
10000,30,0,0.0000,0.0000,0.1135,9.3000,9.0000,121.3000,17163.0279,0.2775,0.1135,0.4091
