count,trial,repeat,evict_kb,result,exit_code,min_time,score,seconds,used_samples,ignored_samples
200000,7,50,2048,PASS,0,108,17227.750,187,199799,201
40000,6,50,2048,FAIL,2,120,16930.816,38,39959,41
250000,9,50,2048,PASS,0,117,17244.981,236,249716,284
40000,4,50,2048,FAIL,2,118,17059.471,37,39950,50
300000,1,50,2048,PASS,0,113,17047.052,283,299732,268
25000,8,50,2048,FAIL,2,116,17098.964,23,24976,24
20000,1,50,2048,FAIL,2,118,17541.152,19,19983,17
20000,3,50,2048,FAIL,2,123,17676.715,19,19992,8
300000,10,50,2048,PASS,0,118,17692.718,282,299776,224
200000,6,50,2048,PASS,0,117,17255.340,189,199843,157
35000,1,50,2048,FAIL,2,110,16946.019,33,34969,31
150000,5,50,2048,PASS,0,116,17659.282,141,149899,101
200000,4,50,2048,PASS,0,117,17183.023,188,199843,157
200000,8,50,2048,PASS,0,118,17991.044,188,199846,154
200000,3,50,2048,PASS,0,111,16890.539,188,199844,156
100000,2,50,2048,PASS,0,121,17042.733,94,99925,75
50000,10,50,2048,FAIL,2,118,17645.661,47,49968,32
300000,4,50,2048,PASS,0,117,17596.031,282,299757,243
25000,3,50,2048,FAIL,2,119,17450.112,24,24978,22
300000,5,50,2048,PASS,0,117,17161.487,282,299774,226
400000,8,50,2048,PASS,0,111,17590.694,391,399689,311
200000,2,50,2048,PASS,0,117,17471.651,189,199751,249
75000,10,50,2048,PASS,0,117,17023.098,70,74890,110
25000,1,50,2048,FAIL,2,122,17670.912,24,24977,23
400000,2,50,2048,PASS,0,116,17023.950,376,399573,427
500000,8,50,2048,PASS,0,116,17108.685,471,499478,522
500000,5,50,2048,PASS,0,109,17592.715,471,499481,519
50000,3,50,2048,PASS,0,118,17549.471,47,49924,76
25000,7,50,2048,FAIL,2,119,17054.051,23,24984,16
10000,6,50,2048,FAIL,2,120,17011.769,10,9988,12
40000,1,50,2048,FAIL,2,117,16983.306,38,39967,33
60000,3,50,2048,PASS,0,122,18033.033,56,59954,46
30000,10,50,2048,FAIL,2,123,17033.103,29,29987,13
30000,8,50,2048,FAIL,2,121,18022.425,28,29983,17
75000,3,50,2048,FAIL,2,123,17848.723,70,74953,47
25000,2,50,2048,FAIL,2,114,17806.698,24,24962,38
40000,9,50,2048,FAIL,2,122,17710.174,38,39964,36
10000,3,50,2048,FAIL,2,121,17638.570,9,9994,6
