count,n,passes,success_rate,ci_lo,ci_hi,mean_seconds,median_seconds,mean_min_time,mean_score,ci_width_n10,ci_width_n30,ci_width_ratio
500000,30,24,0.8000,0.6269,0.9049,410.5000,410.0000,11390.5000,1519227.0018,0.4531,0.2780,0.6136
400000,30,30,1.0000,0.8865,1.0000,329.5000,329.0000,11408.1000,1514261.4163,0.2775,0.1135,0.4091
300000,30,18,0.6000,0.4232,0.7541,247.3000,247.0000,11444.0000,1521013.5730,0.5191,0.3309,0.6374
250000,30,12,0.4000,0.2459,0.5768,205.5000,205.5000,11439.2000,1517390.6643,0.5191,0.3309,0.6374
200000,30,6,0.2000,0.0951,0.3731,164.6000,164.0000,11401.2000,1515083.7677,0.4531,0.2780,0.6136
150000,30,6,0.2000,0.0951,0.3731,123.4000,123.0000,11517.7000,1517706.3976,0.4531,0.2780,0.6136
100000,30,0,0.0000,0.0000,0.1135,82.3000,82.0000,11426.9000,1515450.3433,0.2775,0.1135,0.4091
75000,30,0,0.0000,0.0000,0.1135,61.7000,62.0000,11473.8000,1515376.1683,0.2775,0.1135,0.4091
60000,30,0,0.0000,0.0000,0.1135,49.2000,49.0000,11474.2000,1511586.7833,0.2775,0.1135,0.4091
50000,30,0,0.0000,0.0000,0.1135,41.1000,41.0000,11577.9000,1522243.3342,0.2775,0.1135,0.4091
45000,30,0,0.0000,0.0000,0.1135,37.1000,37.0000,11560.3000,1514805.1908,0.2775,0.1135,0.4091
40000,30,0,0.0000,0.0000,0.1135,32.8000,33.0000,11469.4000,1509648.5794,0.2775,0.1135,0.4091
35000,30,0,0.0000,0.0000,0.1135,28.8000,29.0000,11698.3000,1523288.6161,0.2775,0.1135,0.4091
30000,30,0,0.0000,0.0000,0.1135,25.1000,25.0000,11583.0000,1521828.2139,0.2775,0.1135,0.4091
25000,30,0,0.0000,0.0000,0.1135,20.6000,21.0000,11603.2000,1515946.5508,0.2775,0.1135,0.4091
20000,30,0,0.0000,0.0000,0.1135,16.6000,17.0000,11658.1000,1520218.8032,0.2775,0.1135,0.4091
10000,30,0,0.0000,0.0000,0.1135,8.2000,8.0000,11670.4000,1510272.7402,0.2775,0.1135,0.4091
