count,trial,repeat,evict_kb,result,exit_code,min_time,score,seconds,used_samples,ignored_samples
30000,3,50,2048,FAIL,2,10872,1509999.564,26,29934,66
500000,3,50,2048,FAIL,2,11417,1519760.656,411,499763,237
10000,5,50,2048,FAIL,2,11834,1526252.626,9,9997,3
45000,7,50,2048,FAIL,2,11459,1512222.142,37,44989,11
300000,2,50,2048,FAIL,2,11334,1512163.261,250,299941,59
250000,8,50,2048,PASS,0,11459,1529214.930,205,249946,54
100000,1,50,2048,FAIL,2,11461,1517079.391,82,99990,10
75000,5,50,2048,FAIL,2,11466,1511285.296,62,74987,13
200000,4,50,2048,PASS,0,11457,1515690.693,164,199968,32
500000,8,50,2048,PASS,0,11540,1528163.488,411,499941,59
25000,1,50,2048,FAIL,2,11630,1520594.962,20,24997,3
250000,7,50,2048,FAIL,2,11377,1509341.631,206,249956,44
25000,8,50,2048,FAIL,2,11582,1498646.362,20,24992,8
25000,9,50,2048,FAIL,2,11666,1521771.084,21,24999,1
40000,10,50,2048,FAIL,2,11457,1497835.907,33,39991,9
20000,6,50,2048,FAIL,2,11451,1500337.702,17,19996,4
150000,1,50,2048,PASS,0,11664,1523831.543,123,149974,26
75000,6,50,2048,FAIL,2,11416,1511826.132,61,74991,9
30000,1,50,2048,FAIL,2,11579,1510657.524,25,29995,5
100000,8,50,2048,FAIL,2,11455,1505854.314,82,99980,20
100000,2,50,2048,FAIL,2,11415,1512137.309,83,99988,12
400000,6,50,2048,PASS,0,11584,1527541.267,328,399937,63
200000,2,50,2048,PASS,0,11375,1512280.859,165,199964,36
35000,10,50,2048,FAIL,2,11747,1525923.975,28,34992,8
40000,3,50,2048,FAIL,2,11330,1501792.066,33,39997,3
35000,4,50,2048,FAIL,2,11535,1510002.971,29,34991,9
150000,5,50,2048,FAIL,2,11158,1509739.612,124,149965,35
35000,1,50,2048,FAIL,2,11705,1525274.658,28,34995,5
300000,5,50,2048,PASS,0,11586,1529354.982,247,299957,43
100000,3,50,2048,FAIL,2,11291,1514992.949,82,99985,15
20000,4,50,2048,FAIL,2,11628,1521744.915,17,19998,2
150000,4,50,2048,FAIL,2,11540,1521838.024,123,149963,37
10000,4,50,2048,FAIL,2,11578,1503628.758,8,9998,2
400000,7,50,2048,PASS,0,11332,1513833.639,329,399934,66
200000,5,50,2048,FAIL,2,11292,1529038.904,165,199973,27
100000,4,50,2048,FAIL,2,11292,1507036.156,82,99990,10
150000,8,50,2048,FAIL,2,11450,1512859.943,123,149962,38
60000,7,50,2048,FAIL,2,11457,1508046.068,50,59992,8
250000,9,50,2048,FAIL,2,11464,1515718.350,205,249984,16
150000,9,50,2048,FAIL,2,11417,1509240.998,124,149979,21
10000,10,50,2048,FAIL,2,11460,1504267.943,8,9999,1
400000,8,50,2048,PASS,0,11207,1506605.004,329,399927,73
200000,7,50,2048,FAIL,2,11417,1512475.434,167,199967,33
10000,1,50,2048,FAIL,2,11831,1522912.759,8,9997,3
20000,5,50,2048,FAIL,2,11710,1520138.253,17,19996,4
35000,3,50,2048,FAIL,2,11955,1545348.759,29,34991,9
75000,4,50,2048,FAIL,2,11458,1512687.741,61,74996,4
35000,8,50,2048,FAIL,2,11584,1508014.104,29,34999,1
300000,10,50,2048,PASS,0,11498,1521924.329,247,299958,42
250000,3,50,2048,PASS,0,11130,1501395.698,205,249957,43
150000,10,50,2048,FAIL,2,11543,1523325.262,123,149974,26
45000,10,50,2048,FAIL,2,11624,1513759.937,37,44994,6
250000,6,50,2048,FAIL,2,11709,1533399.771,206,249957,43
250000,2,50,2048,PASS,0,11416,1514261.431,205,249965,35
60000,2,50,2048,FAIL,2,11416,1505039.309,49,59989,11
75000,8,50,2048,FAIL,2,11249,1517295.044,62,74989,11
50000,5,50,2048,FAIL,2,11832,1551111.120,41,49982,18
400000,1,50,2048,PASS,0,11585,1523865.906,328,399943,57
30000,2,50,2048,FAIL,2,11501,1513993.884,25,29993,7
150000,3,50,2048,FAIL,2,11414,1504186.409,124,149985,15
500000,1,50,2048,PASS,0,11539,1516558.797,410,499926,74
45000,1,50,2048,FAIL,2,11584,1507449.689,37,44994,6
60000,1,50,2048,FAIL,2,11707,1520594.323,49,59991,9
35000,5,50,2048,FAIL,2,11790,1533888.725,29,34998,2
10000,7,50,2048,FAIL,2,11747,1509762.799,8,9998,2
100000,9,50,2048,FAIL,2,11495,1520404.710,83,99977,23
500000,7,50,2048,PASS,0,11240,1512384.502,410,499922,78
300000,8,50,2048,PASS,0,11535,1521046.628,247,299961,39
150000,7,50,2048,FAIL,2,11915,1555546.834,123,149989,11
35000,7,50,2048,FAIL,2,11667,1519388.928,29,34996,4
75000,3,50,2048,FAIL,2,11414,1500109.780,62,74985,15
500000,5,50,2048,PASS,0,11209,1509396.732,410,499927,73
60000,6,50,2048,FAIL,2,11535,1519090.890,49,59993,7
300000,4,50,2048,FAIL,2,11250,1505462.419,247,299945,55
10000,9,50,2048,FAIL,2,11749,1514655.021,8,9999,1
10000,3,50,2048,FAIL,2,11709,1496818.890,9,9999,1
200000,10,50,2048,FAIL,2,11376,1514568.287,164,199961,39
30000,8,50,2048,FAIL,2,11624,1517158.309,25,29995,5
10000,8,50,2048,FAIL,2,11788,1522400.448,8,9999,1
20000,8,50,2048,FAIL,2,11832,1530520.905,17,19995,5
75000,10,50,2048,FAIL,2,11450,1522079.657,61,74989,11
50000,9,50,2048,FAIL,2,11543,1523776.888,41,49992,8
100000,7,50,2048,FAIL,2,11499,1524954.734,82,99990,10
20000,7,50,2048,FAIL,2,11585,1506052.242,16,19996,4
300000,3,50,2048,PASS,0,11370,1510819.755,247,299952,48
60000,5,50,2048,FAIL,2,11377,1506173.181,49,59988,12
25000,3,50,2048,FAIL,2,11538,1511435.343,21,24995,5
250000,10,50,2048,FAIL,2,11297,1514759.549,205,249964,36
400000,5,50,2048,PASS,0,11539,1523343.330,334,399920,80
35000,9,50,2048,FAIL,2,11499,1515329.183,29,34994,6
30000,4,50,2048,FAIL,2,11457,1511197.176,25,29996,4
