count,n,passes,success_rate,ci_lo,ci_hi,mean_seconds,median_seconds,mean_min_time,mean_score
500000,10,8,0.8000,0.4902,0.9433,410.5000,410.0000,11390.5000,1519227.0018
400000,10,10,1.0000,0.7225,1.0000,329.5000,329.0000,11408.1000,1514261.4163
300000,10,6,0.6000,0.3127,0.8318,247.3000,247.0000,11444.0000,1521013.5730
250000,10,4,0.4000,0.1682,0.6873,205.5000,205.5000,11439.2000,1517390.6643
200000,10,2,0.2000,0.0567,0.5098,164.6000,164.0000,11401.2000,1515083.7677
150000,10,2,0.2000,0.0567,0.5098,123.4000,123.0000,11517.7000,1517706.3976
100000,10,0,0.0000,0.0000,0.2775,82.3000,82.0000,11426.9000,1515450.3433
75000,10,0,0.0000,0.0000,0.2775,61.7000,62.0000,11473.8000,1515376.1683
60000,10,0,0.0000,0.0000,0.2775,49.2000,49.0000,11474.2000,1511586.7833
50000,10,0,0.0000,0.0000,0.2775,41.1000,41.0000,11577.9000,1522243.3342
45000,10,0,0.0000,0.0000,0.2775,37.1000,37.0000,11560.3000,1514805.1908
40000,10,0,0.0000,0.0000,0.2775,32.8000,33.0000,11469.4000,1509648.5794
35000,10,0,0.0000,0.0000,0.2775,28.8000,29.0000,11698.3000,1523288.6161
30000,10,0,0.0000,0.0000,0.2775,25.1000,25.0000,11583.0000,1521828.2139
25000,10,0,0.0000,0.0000,0.2775,20.6000,21.0000,11603.2000,1515946.5508
20000,10,0,0.0000,0.0000,0.2775,16.6000,17.0000,11658.1000,1520218.8032
10000,10,0,0.0000,0.0000,0.2775,8.2000,8.0000,11670.4000,1510272.7402
