count,trial,repeat,evict_kb,result,exit_code,min_time,score,seconds,used_samples,ignored_samples
100000,1,50,2048,FAIL,2,11450,1536497.465,82,99965,35
50000,8,50,2048,FAIL,2,11495,1501855.933,42,49991,9
500000,10,50,2048,PASS,0,11453,1527997.521,411,499902,98
100000,7,50,2048,FAIL,2,11251,1503381.337,82,99963,37
250000,3,50,2048,FAIL,2,11412,1516240.365,205,249907,93
250000,6,50,2048,PASS,0,11408,1511810.041,205,249879,121
100000,8,50,2048,FAIL,2,11333,1503962.162,82,99948,52
500000,4,50,2048,PASS,0,11581,1532397.374,412,499770,230
100000,2,50,2048,FAIL,2,11496,1523547.657,83,99951,49
250000,7,50,2048,PASS,0,11667,1534174.242,205,249864,136
250000,5,50,2048,FAIL,2,11290,1503061.108,206,249891,109
100000,5,50,2048,FAIL,2,11583,1514983.929,82,99942,58
100000,9,50,2048,FAIL,2,11626,1533556.886,82,99961,39
500000,5,50,2048,PASS,0,11249,1522144.902,411,499741,259
250000,1,50,2048,FAIL,2,11624,1527890.406,205,249902,98
50000,1,50,2048,FAIL,2,11542,1512684.297,42,49979,21
500000,1,50,2048,PASS,0,11408,1509758.497,410,499769,231
50000,3,50,2048,FAIL,2,11426,1515561.194,41,49968,32
50000,4,50,2048,FAIL,2,11505,1513885.696,41,49979,21
100000,10,50,2048,FAIL,2,11415,1516034.785,83,99946,54
100000,4,50,2048,FAIL,2,11708,1530957.479,82,99938,62
50000,5,50,2048,FAIL,2,11460,1519417.345,41,49976,24
50000,6,50,2048,FAIL,2,11587,1518885.979,41,49978,22
250000,8,50,2048,FAIL,2,11374,1516035.344,206,249881,119
50000,9,50,2048,FAIL,2,11623,1517818.391,41,49983,17
500000,9,50,2048,PASS,0,11373,1517044.693,410,499766,234
250000,4,50,2048,PASS,0,11292,1524537.625,206,249883,117
250000,2,50,2048,PASS,0,11707,1535707.391,205,249894,106
500000,3,50,2048,PASS,0,11499,1529652.876,412,499741,259
50000,2,50,2048,FAIL,2,11498,1503587.550,41,49967,33
50000,10,50,2048,FAIL,2,11581,1511844.918,41,49981,19
500000,8,50,2048,PASS,0,11493,1534732.142,411,499738,262
50000,7,50,2048,FAIL,2,11539,1513981.577,41,49962,38
100000,6,50,2048,FAIL,2,11420,1503756.056,86,99948,52
500000,7,50,2048,FAIL,2,11786,1619709.318,430,499741,259
500000,6,50,2048,PASS,0,11458,1544400.101,427,499748,252
100000,3,50,2048,FAIL,2,11459,1510502.960,82,99943,57
250000,9,50,2048,PASS,0,11582,1524863.665,206,249894,106
250000,10,50,2048,PASS,0,11326,1511591.456,205,249870,130
500000,2,50,2048,PASS,0,11500,1510855.272,410,499763,237
