count,trial,repeat,evict_kb,result,exit_code,min_time,score,seconds
75000,1,50,2048,FAIL,2,106,17064.049,71
75000,2,50,2048,PASS,0,118,17897.883,71
75000,3,50,2048,PASS,0,112,17526.455,71
75000,4,50,2048,FAIL,2,115,18314.841,71
75000,5,50,2048,PASS,0,114,17622.448,71
75000,6,50,2048,PASS,0,117,17630.996,71
75000,7,50,2048,PASS,0,110,17469.562,71
75000,8,50,2048,PASS,0,117,16965.021,71
60000,1,50,2048,PASS,0,109,16963.936,56
60000,2,50,2048,PASS,0,111,16945.025,57
60000,3,50,2048,PASS,0,110,16951.088,57
60000,4,50,2048,FAIL,2,114,17530.875,57
60000,5,50,2048,PASS,0,112,17744.401,56
60000,6,50,2048,PASS,0,113,16941.451,58
60000,7,50,2048,PASS,0,115,16926.224,56
60000,8,50,2048,FAIL,2,118,17759.942,57
50000,1,50,2048,PASS,0,114,17436.162,48
50000,2,50,2048,FAIL,2,113,16917.948,47
50000,3,50,2048,PASS,0,111,17663.197,48
50000,4,50,2048,PASS,0,111,16915.265,47
50000,5,50,2048,FAIL,2,115,17441.432,47
50000,6,50,2048,FAIL,2,117,17431.722,48
50000,7,50,2048,PASS,0,113,17102.588,47
50000,8,50,2048,PASS,0,107,17637.452,47
45000,1,50,2048,FAIL,2,115,17189.434,43
45000,2,50,2048,PASS,0,115,16915.148,43
45000,3,50,2048,FAIL,2,117,17458.222,43
45000,4,50,2048,FAIL,2,114,17092.437,43
45000,5,50,2048,PASS,0,115,17570.446,43
45000,6,50,2048,FAIL,2,113,17494.464,42
45000,7,50,2048,FAIL,2,115,17565.391,43
45000,8,50,2048,FAIL,2,117,18334.066,43
40000,1,50,2048,FAIL,2,109,17025.158,38
40000,2,50,2048,FAIL,2,117,17086.139,38
40000,3,50,2048,PASS,0,115,17731.046,37
40000,4,50,2048,PASS,0,116,17588.617,39
40000,5,50,2048,FAIL,2,116,17015.218,38
40000,6,50,2048,FAIL,2,109,16980.834,38
40000,7,50,2048,FAIL,2,113,16893.058,38
40000,8,50,2048,FAIL,2,111,16914.227,38
30000,1,50,2048,FAIL,2,114,17571.429,28
30000,2,50,2048,FAIL,2,114,17508.613,29
30000,3,50,2048,FAIL,2,116,17615.367,28
30000,4,50,2048,FAIL,2,109,18237.824,29
30000,5,50,2048,FAIL,2,115,18509.906,29
30000,6,50,2048,FAIL,2,120,18183.212,30
30000,7,50,2048,FAIL,2,119,17872.432,29
30000,8,50,2048,FAIL,2,121,18184.919,30
