count,trial,repeat,evict_kb,result,exit_code,min_time,score,seconds,used_samples,ignored_samples
500000,1,50,2048,PASS,0,112,16978.051,471,499198,802
500000,2,50,2048,PASS,0,105,17728.502,802,498808,1192
500000,3,50,2048,PASS,0,98,18031.130,4341,493854,6146
400000,1,50,2048,PASS,0,139,20976.139,1473,399661,339
400000,2,50,2048,PASS,0,140,21144.317,450,399732,268
400000,3,50,2048,PASS,0,133,20427.818,453,398464,1536
300000,1,50,2048,PASS,0,136,20134.287,339,299820,180
300000,2,50,2048,FAIL,2,142,21590.646,338,299764,236
300000,3,50,2048,PASS,0,143,21031.321,337,299856,144
250000,1,50,2048,PASS,0,133,21281.765,282,249742,258
250000,2,50,2048,PASS,0,140,21196.631,285,249827,173
250000,3,50,2048,PASS,0,143,21327.118,281,249832,168
200000,1,50,2048,FAIL,2,142,21247.512,225,199867,133
200000,2,50,2048,PASS,0,142,20381.788,225,199908,92
200000,3,50,2048,FAIL,2,143,21600.354,225,199857,143
150000,1,50,2048,PASS,0,141,20242.130,169,149923,77
150000,2,50,2048,PASS,0,141,20385.157,169,149910,90
150000,3,50,2048,PASS,0,141,20338.215,169,149912,88
100000,1,50,2048,FAIL,2,146,21089.022,112,99953,47
100000,2,50,2048,PASS,0,137,21050.114,114,99913,87
100000,3,50,2048,FAIL,2,144,21232.241,112,99939,61
75000,1,50,2048,FAIL,2,143,20571.480,85,74954,46
75000,2,50,2048,FAIL,2,141,21204.257,84,74953,47
75000,3,50,2048,FAIL,2,144,21123.243,85,74964,36
60000,1,50,2048,FAIL,2,144,20430.326,67,59975,25
60000,2,50,2048,FAIL,2,145,21461.403,68,59958,42
60000,3,50,2048,FAIL,2,137,20341.716,68,59950,50
50000,1,50,2048,FAIL,2,144,20944.889,56,49977,23
50000,2,50,2048,FAIL,2,145,21070.793,56,49976,24
50000,3,50,2048,FAIL,2,139,21493.525,57,49967,33
45000,1,50,2048,FAIL,2,139,20438.319,51,44959,41
45000,2,50,2048,FAIL,2,145,20781.871,51,44984,16
45000,3,50,2048,FAIL,2,147,21097.508,51,44982,18
40000,1,50,2048,FAIL,2,142,21393.779,45,39964,36
40000,2,50,2048,FAIL,2,138,20619.493,46,39972,28
40000,3,50,2048,FAIL,2,148,21282.955,45,39978,22
35000,1,50,2048,FAIL,2,142,20317.330,39,34987,13
35000,2,50,2048,FAIL,2,141,21268.354,40,34960,40
35000,3,50,2048,FAIL,2,131,20484.882,39,34953,47
30000,1,50,2048,FAIL,2,144,21068.387,34,29983,17
30000,2,50,2048,FAIL,2,145,20325.469,34,29983,17
30000,3,50,2048,FAIL,2,144,21269.217,34,29985,15
25000,1,50,2048,FAIL,2,145,20308.810,28,24982,18
25000,2,50,2048,FAIL,2,144,20364.397,28,24991,9
25000,3,50,2048,FAIL,2,146,21244.788,28,24983,17
20000,1,50,2048,FAIL,2,144,20141.754,24,19988,12
20000,2,50,2048,FAIL,2,142,20240.367,23,19990,10
20000,3,50,2048,FAIL,2,144,21140.260,23,19983,17
10000,1,50,2048,FAIL,2,139,20375.467,11,9993,7
10000,2,50,2048,FAIL,2,143,20323.436,11,9992,8
10000,3,50,2048,FAIL,2,144,20214.660,12,9994,6
