sweep,count,repeat,evict_kb,trial,result,exit_code,min_time,score,seconds
repeat,150000,50,2048,1,FAIL,2,107,17634.188,147
repeat,150000,50,2048,2,PASS,0,111,17520.145,142
repeat,150000,50,2048,3,PASS,0,110,16886.864,143
repeat,150000,50,2048,4,FAIL,2,117,18174.229,142
repeat,150000,50,2048,5,PASS,0,107,16852.644,141
repeat,150000,40,2048,1,PASS,0,87,13569.193,117
repeat,150000,40,2048,2,PASS,0,91,14097.283,117
repeat,150000,40,2048,3,PASS,0,89,13482.546,117
repeat,150000,40,2048,4,PASS,0,82,14034.371,117
repeat,150000,40,2048,5,FAIL,2,92,14641.163,117
repeat,150000,30,2048,1,PASS,0,64,10504.775,92
repeat,150000,30,2048,2,PASS,0,63,10241.515,93
repeat,150000,30,2048,3,PASS,0,66,10179.594,92
repeat,150000,30,2048,4,PASS,0,64,10249.183,92
repeat,150000,30,2048,5,FAIL,2,63,10505.112,92
repeat,150000,20,2048,1,FAIL,2,43,7030.539,68
repeat,150000,20,2048,2,PASS,0,43,6743.132,67
repeat,150000,20,2048,3,PASS,0,43,6971.784,68
repeat,150000,20,2048,4,FAIL,2,42,7382.062,67
repeat,150000,20,2048,5,PASS,0,43,6784.162,68
repeat,150000,10,2048,1,PASS,0,20,3466.064,42
repeat,150000,10,2048,2,PASS,0,20,3493.808,43
repeat,150000,10,2048,3,PASS,0,20,3341.859,43
repeat,150000,10,2048,4,FAIL,2,19,3496.051,42
repeat,150000,10,2048,5,PASS,0,20,3459.510,43
evict,150000,50,2048,1,PASS,0,109,17566.840,142
evict,150000,50,2048,2,PASS,0,109,17481.372,141
evict,150000,50,2048,3,PASS,0,109,17620.514,142
evict,150000,50,2048,4,PASS,0,111,16903.180,142
evict,150000,50,2048,5,PASS,0,114,17709.498,142
evict,150000,50,1024,1,FAIL,2,115,17832.863,80
evict,150000,50,1024,2,FAIL,2,111,17308.228,81
evict,150000,50,1024,3,FAIL,2,109,16204.206,80
evict,150000,50,1024,4,FAIL,2,111,16331.997,81
evict,150000,50,1024,5,FAIL,2,107,16237.918,81
evict,150000,50,512,1,PASS,0,113,16928.378,49
evict,150000,50,512,2,PASS,0,108,15919.937,50
evict,150000,50,512,3,FAIL,2,109,16085.940,50
evict,150000,50,512,4,PASS,0,113,16844.823,49
evict,150000,50,512,5,PASS,0,107,16916.812,50
evict,150000,50,256,1,FAIL,2,114,17729.942,34
evict,150000,50,256,2,PASS,0,96,14621.374,33
evict,150000,50,256,3,PASS,0,103,15699.785,34
evict,150000,50,256,4,PASS,0,100,15133.802,33
evict,150000,50,256,5,PASS,0,103,15889.717,34
evict,150000,50,128,1,PASS,0,100,14842.334,23
evict,150000,50,128,2,PASS,0,95,14189.651,24
evict,150000,50,128,3,PASS,0,96,14531.468,24
evict,150000,50,128,4,PASS,0,100,15172.043,23
evict,150000,50,128,5,PASS,0,99,15045.398,24
