sweep,count,repeat,evict_kb,trial,result,exit_code,min_time,score,seconds,used_samples,ignored_samples
evict,100000,50,1024,3,FAIL,2,11375,1500687.877,43,99962,38
evict,100000,50,4096,3,FAIL,2,11751,1531943.721,165,99973,27
evict,100000,50,512,9,FAIL,2,11119,1489829.996,21,99983,17
repeat,100000,50,2048,3,FAIL,2,11622,1525374.281,82,99981,19
evict,100000,50,256,10,FAIL,2,12043,1583576.371,12,99992,8
evict,100000,50,2048,3,FAIL,2,11917,1553905.389,82,99974,26
evict,100000,50,4096,4,FAIL,2,11876,1546715.558,165,99983,17
repeat,100000,100,2048,10,FAIL,2,23582,3059874.318,164,99993,7
repeat,100000,10,2048,10,FAIL,2,2334,318216.774,17,99950,50
repeat,100000,30,2048,9,FAIL,2,6914,909669.048,50,99968,32
repeat,100000,100,2048,3,FAIL,2,23289,3032786.293,164,99997,3
evict,100000,50,1024,7,FAIL,2,11170,1512405.822,42,99982,18
repeat,100000,100,2048,9,FAIL,2,23417,3060452.785,164,99997,3
repeat,100000,10,2048,7,FAIL,2,2122,302563.094,16,99954,46
repeat,100000,30,2048,10,FAIL,2,6749,909781.054,50,99971,29
repeat,100000,30,2048,1,FAIL,2,6667,900303.403,49,99975,25
repeat,100000,75,2048,3,FAIL,2,17584,2277261.216,124,99996,4
repeat,100000,75,2048,6,FAIL,2,17415,2274382.188,123,99994,6
repeat,100000,20,2048,8,FAIL,2,4497,605762.684,33,99901,99
evict,100000,50,256,9,FAIL,2,10833,1476776.461,11,99984,16
repeat,100000,100,2048,7,FAIL,2,23336,3010610.561,165,99989,11
repeat,100000,20,2048,9,FAIL,2,4498,605190.101,33,99901,99
evict,100000,50,512,3,FAIL,2,10912,1474785.839,22,99979,21
evict,100000,50,1024,4,FAIL,2,11168,1504586.663,41,99982,18
repeat,100000,20,2048,5,FAIL,2,4374,605217.382,33,99933,67
repeat,100000,30,2048,7,FAIL,2,6872,909213.836,50,99979,21
repeat,100000,75,2048,5,FAIL,2,17169,2262169.952,123,99998,2
evict,100000,50,1024,5,FAIL,2,11388,1502394.041,42,99972,28
evict,100000,50,4096,2,FAIL,2,12001,1557900.364,164,99984,16
repeat,100000,50,2048,10,FAIL,2,11371,1511089.239,82,99986,14
repeat,100000,50,2048,4,FAIL,2,11376,1508362.745,82,99983,17
repeat,100000,75,2048,7,FAIL,2,17540,2290081.056,125,99997,3
repeat,100000,30,2048,2,FAIL,2,6706,904459.264,49,99966,34
evict,100000,50,4096,1,FAIL,2,11626,1519686.146,165,99984,16
evict,100000,50,2048,5,FAIL,2,11581,1535083.582,82,99983,17
evict,100000,50,4096,8,FAIL,2,11834,1552654.799,164,99981,19
evict,100000,50,2048,8,FAIL,2,11707,1530126.263,82,99984,16
evict,100000,50,1024,2,FAIL,2,11251,1511005.261,42,99983,17
evict,100000,50,4096,5,FAIL,2,11916,1547440.623,164,99981,19
repeat,100000,100,2048,4,FAIL,2,22966,3021149.660,164,99998,2
repeat,100000,20,2048,1,FAIL,2,4417,604871.734,33,99938,62
repeat,100000,10,2048,3,FAIL,2,2164,300812.750,17,99964,36
repeat,100000,30,2048,6,FAIL,2,6677,903677.284,49,99975,25
repeat,100000,20,2048,2,FAIL,2,4498,605111.911,33,99920,80
repeat,100000,75,2048,1,FAIL,2,17459,2266649.935,123,99997,3
repeat,100000,30,2048,8,FAIL,2,6705,906032.842,50,99962,38
evict,100000,50,4096,9,FAIL,2,11750,1531967.326,166,99990,10
repeat,100000,10,2048,1,FAIL,2,2125,301490.043,16,99945,55
