sweep,count,repeat,evict_kb,trial,result,exit_code,min_time,score,seconds,used_samples,ignored_samples
evict,100000,50,2048,10,FAIL,2,11492,1510807.489,82,99958,42
evict,100000,50,256,4,FAIL,2,10752,1471734.495,11,99916,84
repeat,100000,100,2048,7,FAIL,2,24045,3109149.071,165,99994,6
repeat,100000,50,2048,10,FAIL,2,11499,1512431.418,82,99958,42
repeat,100000,10,2048,9,FAIL,2,2126,302562.609,17,99947,53
repeat,100000,10,2048,8,FAIL,2,2164,302467.872,16,99941,59
evict,100000,50,4096,7,FAIL,2,11625,1534363.817,164,99951,49
repeat,100000,100,2048,1,FAIL,2,23169,3053747.625,164,99993,7
repeat,100000,10,2048,5,FAIL,2,2206,304006.463,17,99952,48
repeat,100000,50,2048,5,FAIL,2,11581,1526795.909,82,99958,42
evict,100000,50,2048,3,FAIL,2,11705,1528898.613,87,99957,43
evict,100000,50,4096,9,FAIL,2,11832,1547571.701,163,99954,46
repeat,100000,50,2048,3,FAIL,2,11709,1528582.573,83,99956,44
repeat,100000,10,2048,4,FAIL,2,2164,301947.290,16,99948,52
repeat,100000,10,2048,10,FAIL,2,2164,301897.017,17,99959,41
repeat,100000,50,2048,9,FAIL,2,11210,1508438.329,82,99950,50
evict,100000,50,2048,2,FAIL,2,11503,1513476.978,85,99944,56
evict,100000,50,4096,8,FAIL,2,11958,1546151.311,163,99954,46
evict,100000,50,256,2,FAIL,2,10961,1483686.843,12,99984,16
repeat,100000,100,2048,3,FAIL,2,23458,3046857.687,164,99996,4
repeat,100000,100,2048,5,FAIL,2,23170,3027528.362,164,99994,6
evict,100000,50,256,3,FAIL,2,10917,1481147.154,11,99990,10
repeat,100000,10,2048,3,FAIL,2,2206,305250.254,17,99967,33
repeat,100000,50,2048,4,FAIL,2,11373,1504629.469,82,99949,51
evict,100000,50,2048,5,PASS,0,11459,1513552.366,83,99941,59
evict,100000,50,4096,3,FAIL,2,11831,1530941.197,163,99956,44
evict,100000,50,2048,7,FAIL,2,11500,1521028.800,83,99948,52
evict,100000,50,256,7,FAIL,2,10960,1484426.978,11,99988,12
evict,100000,50,256,1,FAIL,2,11083,1483455.170,11,99908,92
repeat,100000,10,2048,7,FAIL,2,2168,303195.804,17,99955,45
evict,100000,50,4096,6,FAIL,2,11750,1540047.945,164,99958,42
evict,100000,50,4096,5,FAIL,2,11789,1535342.081,167,99957,43
evict,100000,50,2048,8,FAIL,2,11961,1552041.429,82,99945,55
repeat,100000,50,2048,1,FAIL,2,11536,1518386.801,82,99923,77
repeat,100000,50,2048,6,FAIL,2,11497,1528986.017,84,99864,136
evict,100000,50,2048,6,FAIL,2,11625,1554942.584,84,99946,54
evict,100000,50,4096,4,FAIL,2,11833,1547315.725,164,99956,44
repeat,100000,10,2048,6,FAIL,2,2164,302586.839,17,99920,80
repeat,100000,100,2048,4,FAIL,2,24749,3304025.550,178,99992,8
evict,100000,50,256,8,FAIL,2,11915,1573739.150,12,99986,14
evict,100000,50,2048,1,FAIL,2,12251,1642695.945,88,99958,42
evict,100000,50,4096,1,FAIL,2,11791,1599506.738,175,99944,56
evict,100000,50,256,9,FAIL,2,11125,1486968.870,12,99966,34
repeat,100000,100,2048,6,FAIL,2,23197,3036413.508,166,99990,10
repeat,100000,50,2048,2,FAIL,2,11585,1518484.463,82,99952,48
evict,100000,50,256,5,FAIL,2,10666,1481391.955,12,99964,36
repeat,100000,10,2048,2,FAIL,2,2169,303879.772,16,99948,52
evict,100000,50,2048,4,FAIL,2,11539,1513945.999,84,99950,50
evict,100000,50,4096,10,FAIL,2,11876,1552604.054,165,99964,36
repeat,100000,100,2048,9,FAIL,2,23165,3038036.584,164,99994,6
repeat,100000,10,2048,1,FAIL,2,2165,304934.308,17,99957,43
evict,100000,50,4096,2,FAIL,2,11830,1540619.642,164,99942,58
repeat,100000,50,2048,8,FAIL,2,11500,1509871.055,82,99932,68
repeat,100000,100,2048,2,FAIL,2,23329,3195261.426,174,99980,20
repeat,100000,100,2048,10,FAIL,2,24544,3232255.187,176,99994,6
evict,100000,50,256,10,FAIL,2,11584,1533027.514,12,99883,117
repeat,100000,100,2048,8,FAIL,2,23325,3046942.566,165,99991,9
evict,100000,50,2048,9,FAIL,2,11747,1534999.127,82,99942,58
evict,100000,50,256,6,FAIL,2,10874,1474477.346,11,99911,89
repeat,100000,50,2048,7,FAIL,2,11459,1512337.338,83,99955,45
