sweep,count,repeat,evict_kb,trial,result,exit_code,min_time,score,seconds,used_samples,ignored_samples
evict,100000,50,1024,2,FAIL,2,110,16875.610,52,99867,133
repeat,100000,20,2048,3,PASS,0,42,7056.110,46,99941,59
repeat,100000,75,2048,4,FAIL,2,183,25918.785,135,99965,35
evict,100000,50,4096,6,PASS,0,109,15570.778,191,99645,355
repeat,100000,10,2048,8,FAIL,2,20,3434.287,29,99825,175
evict,100000,50,2048,10,FAIL,2,116,17151.919,94,99802,198
evict,100000,50,4096,3,PASS,0,106,15771.733,191,99852,148
evict,100000,50,4096,7,PASS,0,104,15624.048,192,99873,127
evict,100000,50,2048,4,FAIL,2,111,17180.614,94,99890,110
evict,100000,50,1024,3,FAIL,2,112,16986.432,53,99868,132
evict,100000,50,1024,8,FAIL,2,118,17194.226,54,99876,124
evict,100000,50,256,4,PASS,0,104,15777.804,22,99885,115
repeat,100000,30,2048,5,FAIL,2,69,10668.551,62,99927,73
evict,100000,50,2048,2,FAIL,2,113,17059.172,94,99867,133
repeat,100000,20,2048,5,FAIL,2,45,7349.400,45,99947,53
evict,100000,50,2048,3,FAIL,2,130,19080.376,94,99930,70
evict,100000,50,512,1,PASS,0,110,16307.814,33,99912,88
evict,100000,50,256,8,PASS,0,104,15598.335,22,99924,76
repeat,100000,50,2048,5,PASS,0,117,17771.207,94,99904,96
repeat,100000,20,2048,7,FAIL,2,43,6792.114,45,99964,36
evict,100000,50,4096,4,PASS,0,109,15750.576,190,99926,74
evict,100000,50,512,9,PASS,0,115,16934.151,33,99914,86
evict,100000,50,2048,8,PASS,0,121,17732.748,94,99925,75
repeat,100000,30,2048,1,PASS,0,67,10619.283,62,99943,57
repeat,100000,50,2048,2,PASS,0,117,17142.519,94,99927,73
repeat,100000,50,2048,7,PASS,0,116,17146.093,94,99936,64
repeat,100000,10,2048,3,PASS,0,21,3524.675,28,99983,17
repeat,100000,20,2048,9,PASS,0,44,7085.614,45,99974,26
repeat,100000,75,2048,6,FAIL,2,174,26657.693,135,99872,128
repeat,100000,100,2048,9,FAIL,2,252,39246.135,197,99953,47
evict,100000,50,1024,1,FAIL,2,111,17116.269,54,99884,116
repeat,100000,10,2048,5,FAIL,2,21,3366.920,28,99983,17
evict,100000,50,1024,6,FAIL,2,112,17055.661,54,99920,80
evict,100000,50,256,1,FAIL,2,106,16411.413,22,99906,94
evict,100000,50,256,5,PASS,0,101,15484.519,22,99901,99
repeat,100000,10,2048,9,PASS,0,19,3369.534,29,99970,30
repeat,100000,50,2048,6,PASS,0,121,17151.383,94,99919,81
evict,100000,50,256,9,PASS,0,103,15634.288,22,99904,96
evict,100000,50,2048,9,FAIL,2,117,17727.742,94,99899,101
evict,100000,50,2048,1,PASS,0,119,17763.010,94,99924,76
evict,100000,50,256,2,PASS,0,106,15804.745,23,99947,53
repeat,100000,100,2048,4,PASS,0,244,34606.014,176,99983,17
repeat,100000,20,2048,4,FAIL,2,44,6749.514,45,99971,29
repeat,100000,100,2048,6,FAIL,2,242,35027.393,176,99974,26
repeat,100000,30,2048,3,FAIL,2,70,10468.191,61,99956,44
repeat,100000,30,2048,4,PASS,0,70,10700.356,62,99968,32
repeat,100000,100,2048,5,FAIL,2,237,35139.671,176,99981,19
repeat,100000,30,2048,6,FAIL,2,75,11618.378,61,99937,63
evict,100000,50,4096,8,PASS,0,104,15497.075,191,99928,72
repeat,100000,10,2048,6,PASS,0,21,3317.341,28,99986,14
evict,100000,50,512,7,FAIL,2,111,15970.511,33,99928,72
repeat,100000,100,2048,2,FAIL,2,235,35902.848,177,99972,28
repeat,100000,30,2048,8,PASS,0,69,10269.594,61,99952,48
