sweep,count,repeat,evict_kb,trial,result,exit_code,min_time,score,seconds
evict,150000,50,2048,1,PASS,0,107,16900.421,142
evict,150000,50,2048,2,PASS,0,109,17418.524,141
evict,150000,50,2048,3,PASS,0,107,16785.734,142
evict,150000,50,2048,4,PASS,0,109,16819.915,142
evict,150000,50,2048,5,PASS,0,106,17237.820,141
evict,150000,50,2048,6,PASS,0,109,16828.653,142
evict,150000,50,2048,7,PASS,0,110,17474.889,142
evict,150000,50,2048,8,PASS,0,110,16938.602,141
evict,150000,50,1024,1,PASS,0,110,17259.419,81
evict,150000,50,1024,2,PASS,0,110,16318.895,80
evict,150000,50,1024,3,PASS,0,107,16714.392,81
evict,150000,50,1024,4,PASS,0,110,16504.997,80
evict,150000,50,1024,5,PASS,0,110,16147.374,81
evict,150000,50,1024,6,FAIL,2,110,16845.012,80
evict,150000,50,1024,7,PASS,0,106,16233.778,81
evict,150000,50,1024,8,PASS,0,112,17073.261,80
evict,150000,50,512,1,PASS,0,111,16708.365,50
evict,150000,50,512,2,PASS,0,112,16789.708,49
evict,150000,50,512,3,PASS,0,106,15667.776,50
evict,150000,50,512,4,PASS,0,110,16020.479,50
evict,150000,50,512,5,PASS,0,110,16105.808,49
evict,150000,50,512,6,PASS,0,111,16466.658,50
evict,150000,50,512,7,PASS,0,101,15904.408,50
evict,150000,50,512,8,PASS,0,103,15737.875,49
