sweep,count,repeat,evict_kb,trial,result,exit_code,min_time,score,seconds
repeat,50000,10,2048,1,FAIL,2,18,3218.554,13
repeat,50000,10,2048,2,FAIL,2,19,3411.243,14
repeat,50000,10,2048,3,FAIL,2,20,3417.554,14
repeat,50000,20,2048,1,FAIL,2,42,6629.907,22
repeat,50000,20,2048,2,FAIL,2,44,6985.498,23
repeat,50000,20,2048,3,FAIL,2,41,6661.058,22
repeat,50000,30,2048,1,FAIL,2,67,10654.169,31
repeat,50000,30,2048,2,FAIL,2,68,10081.682,31
repeat,50000,30,2048,3,FAIL,2,66,10218.624,30
repeat,50000,50,2048,1,PASS,0,110,17622.141,48
repeat,50000,50,2048,2,PASS,0,115,16996.192,47
repeat,50000,50,2048,3,PASS,0,113,16881.676,47
repeat,50000,75,2048,1,FAIL,2,170,26117.092,68
repeat,50000,75,2048,2,FAIL,2,170,25617.306,68
repeat,50000,75,2048,3,PASS,0,171,26161.692,68
repeat,50000,100,2048,1,FAIL,2,232,33927.957,89
repeat,50000,100,2048,2,PASS,0,234,35170.551,88
repeat,50000,100,2048,3,PASS,0,235,34798.237,89
evict,50000,50,256,1,FAIL,2,105,16093.218,11
evict,50000,50,256,2,FAIL,2,99,14801.522,11
evict,50000,50,256,3,FAIL,2,105,16079.254,11
evict,50000,50,512,1,FAIL,2,110,15995.692,17
evict,50000,50,512,2,PASS,0,113,16724.124,17
evict,50000,50,512,3,PASS,0,111,16897.990,16
evict,50000,50,1024,1,FAIL,2,111,16233.172,27
evict,50000,50,1024,2,FAIL,2,107,16366.378,27
evict,50000,50,1024,3,FAIL,2,117,17394.774,27
evict,50000,50,2048,1,FAIL,2,112,16715.795,47
evict,50000,50,2048,2,FAIL,2,115,17503.328,48
evict,50000,50,2048,3,FAIL,2,110,16835.714,47
evict,50000,50,4096,1,FAIL,2,105,15832.756,96
evict,50000,50,4096,2,PASS,0,106,15743.723,96
evict,50000,50,4096,3,FAIL,2,106,15732.374,95
